,Island,Depth_ft,Taxon,Bleached,SST_average
1597,Lanai,61.0,PCOM,0.0,2.685823911
1598,Lanai,38.0,PLOB,5.0,2.685823911
1599,Lanai,28.0,MCAP,15.0,2.685823911
1600,Lanai,38.0,PCOM,0.0,2.685823911
1601,Lanai,47.0,PCOM,3.0,2.685823911
1602,Lanai,46.0,MCAP,15.0,2.685823911
1603,Lanai,15.0,MCAP,80.0,2.685823911
1604,Lanai,4.0,MCAP,85.0,2.685823911
1605,Lanai,21.0,MCAP,50.0,2.685823911
1606,Lanai,35.0,PCOM,0.0,2.685823911
1607,Lanai,15.0,PMEA,85.0,2.685823911
1608,Lanai,15.0,PMEA,90.0,2.685823911
1609,Lanai,32.0,PCOM,0.0,2.685823911
1610,Lanai,50.0,PCOM,2.0,2.685823911
1611,Maui,52.0,PCOM,5.0,2.6004861418055554
1612,Maui,57.0,PLOB,5.0,2.6004861418055554
1613,Maui,39.0,PLOB,0.0,2.6004861418055554
1614,Maui,43.0,MCAP,95.0,2.6004861418055554
1615,Maui,53.0,MCAP,85.0,2.6004861418055554
1616,Maui,27.0,MCAP,80.0,2.6004861418055554
1617,Maui,18.0,PLOB,10.0,2.6004861418055554
1618,Maui,16.0,PLOB,2.0,2.6004861418055554
1619,Maui,13.0,PLOB,1.0,2.6004861418055554
1620,Maui,64.0,MCAP,75.0,2.6004861418055554
1621,Maui,21.0,PLOB,40.0,2.6004861418055554
1622,Maui,23.0,PCOM,30.0,2.6004861418055554
1623,Maui,32.0,PLOB,80.0,2.6004861418055554
1624,Maui,32.0,PCOM,5.0,2.6004861418055554
1625,Maui,13.0,MFLA,10.0,2.6004861418055554
1626,Maui,21.0,PMEA,90.0,2.6004861418055554
1627,Maui,8.0,MCAP,75.0,2.6004861418055554
1628,Maui,12.0,PLOB,0.0,2.6004861418055554
1629,Maui,15.0,PLOB,5.0,2.6004861418055554
1630,Maui,12.0,MPAT,5.0,2.6004861418055554
1631,Maui,9.0,MPAT,5.0,2.6004861418055554
1632,Maui,9.0,PLOB,0.0,2.6004861418055554
1633,Maui,9.0,PLOB,1.0,2.6004861418055554
1634,Maui,16.0,PMEA,75.0,2.6004861418055554
1635,Maui,8.0,PLOB,0.0,2.6004861418055554
1636,Maui,7.0,PLOB,10.0,2.6004861418055554
1637,Maui,14.0,PLOB,10.0,2.6004861418055554
1638,Maui,10.0,PLOB,5.0,2.6004861418055554
1639,Maui,11.0,MCAP,90.0,2.6004861418055554
1640,Maui,11.0,PLOB,10.0,2.6004861418055554
1641,Maui,11.0,MDIL,70.0,2.6004861418055554
1642,Maui,11.0,PLOB,10.0,2.6004861418055554
1643,Maui,7.0,PLOB,5.0,2.6004861418055554
1644,Maui,15.0,PLOB,10.0,2.6004861418055554
1645,Maui,10.0,PLOB,5.0,2.6004861418055554
1646,Maui,18.0,PLOB,15.0,2.6004861418055554
1647,Maui,49.0,PLOB,10.0,2.6004861418055554
1648,Maui,36.0,PCOM,5.0,2.6004861418055554
1649,Maui,45.0,MCAP,75.0,2.6004861418055554
1650,Maui,61.0,MCAP,40.0,2.6004861418055554
1651,Maui,28.0,MCAP,50.0,2.6004861418055554
1652,Maui,44.0,PLOB,5.0,2.6004861418055554
1653,Maui,38.0,PLOB,15.0,2.6004861418055554
1654,Maui,36.0,PCOM,10.0,2.6004861418055554
1655,Maui,33.0,PLOB,15.0,2.6004861418055554
1656,Maui,28.0,PLOB,30.0,2.6004861418055554
1657,Maui,48.0,PLOB,50.0,2.6004861418055554
1658,Maui,10.0,PLOB,30.0,2.6004861418055554
1659,Maui,33.0,MCAP,90.0,2.6004861418055554
1660,Maui,33.0,MCAP,90.0,2.6004861418055554
1661,Maui,33.0,MCAP,90.0,2.6004861418055554
1662,Oahu,45.0,PLOB,10.0,2.5257665343423428
1663,Oahu,42.0,PLOB,0.0,2.5257665343423428
1664,Oahu,40.0,PLOB,10.0,2.5257665343423428
1665,Oahu,88.0,PLOB,60.0,2.5257665343423428
1666,Oahu,71.0,PMEA,40.0,2.5257665343423428
1667,Oahu,86.0,MCAP,50.0,2.5257665343423428
1668,Oahu,88.0,PMEA,1.0,2.5257665343423428
1669,Oahu,52.0,PLOB,40.0,2.5257665343423428
1670,Oahu,34.0,MPAT,5.0,2.5257665343423428
1671,Oahu,29.0,PMEA,20.0,2.5257665343423428
1672,Oahu,51.0,PLUT,10.0,2.5257665343423428
1673,Oahu,18.0,PMEA,95.0,2.5257665343423428
1674,Oahu,14.0,MCAP,100.0,2.5257665343423428
1675,Oahu,19.0,MPAT,5.0,2.5257665343423428
1676,Oahu,9.0,MPAT,90.0,2.5257665343423428
1677,Oahu,89.0,PLUT,0.0,2.5257665343423428
1678,Oahu,75.0,PMEA,0.0,2.5257665343423428
1679,Oahu,64.0,MCAP,80.0,2.5257665343423428
1680,Oahu,67.0,MCAP,50.0,2.5257665343423428
1681,Oahu,36.0,PLUT,20.0,2.5257665343423428
1682,Oahu,22.0,PLOB,20.0,2.5257665343423428
1683,Oahu,35.0,PLOB,0.0,2.5257665343423428
1684,Oahu,41.0,PLOB,0.0,2.5257665343423428
1685,Oahu,32.0,PLIC,0.0,2.5257665343423428
1686,Oahu,44.0,PLOB,0.0,2.5257665343423428
1687,Oahu,26.0,PLUT,75.0,2.5257665343423428
1688,Oahu,16.0,PLOB,10.0,2.5257665343423428
1689,Oahu,15.0,PLOB,15.0,2.5257665343423428
1690,Oahu,8.0,PLOB,5.0,2.5257665343423428
1691,Oahu,14.0,PLOB,20.0,2.5257665343423428
1692,Oahu,98.0,PLOB,50.0,2.5257665343423428
1693,Oahu,84.0,MCAP,100.0,2.5257665343423428
1694,Oahu,88.0,MCAP,100.0,2.5257665343423428
1695,Oahu,64.0,PLOB,50.0,2.5257665343423428
1696,Oahu,61.0,MCAP,100.0,2.5257665343423428
1697,Oahu,21.0,PLIC,50.0,2.5257665343423428
1698,Oahu,32.0,PMEA,100.0,2.5257665343423428
1699,Oahu,22.0,PMEA,90.0,2.5257665343423428
1700,Oahu,23.0,PLIC,90.0,2.5257665343423428
1701,Oahu,33.0,PMEA,70.0,2.5257665343423428
1702,Oahu,30.0,PMEA,90.0,2.5257665343423428
1703,Oahu,15.0,PLIC,60.0,2.5257665343423428
1704,Oahu,36.0,PLOB,50.0,2.5257665343423428
1705,Oahu,11.0,PMEA,90.0,2.5257665343423428
1706,Oahu,16.0,MCAP,100.0,2.5257665343423428
1707,Oahu,15.0,PMEA,90.0,2.5257665343423428
1708,Oahu,13.0,PMEA,90.0,2.5257665343423428
1709,Oahu,6.0,MFLA,100.0,2.5257665343423428
1710,Oahu,29.0,PMEA,50.0,2.5257665343423428
1711,Oahu,12.0,PMEA,50.0,2.5257665343423428
1712,Oahu,60.0,PMEA,1.0,2.5257665343423428
1713,Oahu,75.0,PLOB,1.0,2.5257665343423428
1714,Oahu,65.0,PLOB,5.0,2.5257665343423428
1715,Oahu,14.0,PMEA,4.0,2.5257665343423428
1716,Oahu,28.0,PMEA,50.0,2.5257665343423428
1717,Oahu,50.0,PMEA,100.0,2.5257665343423428
1718,Oahu,25.0,PMEA,10.0,2.5257665343423428
1719,Oahu,49.0,PMEA,70.0,2.5257665343423428
1720,Oahu,15.0,PMEA,100.0,2.5257665343423428
1721,Oahu,18.0,PMEA,50.0,2.5257665343423428
1722,Oahu,13.0,PMEA,70.0,2.5257665343423428
1723,Oahu,36.0,PMEA,80.0,2.5257665343423428
1724,Oahu,30.0,PMEA,100.0,2.5257665343423428
1725,Oahu,29.0,MPAT,10.0,2.5257665343423428
1867,Maui,11.0,PLOB,10.0,2.6004861418055554
1868,Maui,7.0,PLOB,0.0,2.6004861418055554
1869,Maui,7.0,PLOB,40.0,2.6004861418055554
1870,Maui,6.0,PLOB,5.0,2.6004861418055554
1871,Maui,11.0,PLOB,0.0,2.6004861418055554
1872,Hawaii,20.0,PLOB,1.0,2.631593099478873
1873,Hawaii,27.0,PLOB,20.0,2.631593099478873
1874,Hawaii,19.0,PLOB,0.0,2.631593099478873
1875,Hawaii,22.0,PLOB,1.0,2.631593099478873
1876,Hawaii,35.0,PMON,5.0,2.631593099478873
1877,Hawaii,28.0,PCOM,10.0,2.631593099478873
1878,Hawaii,40.0,PLOB,5.0,2.631593099478873
1879,Hawaii,20.0,PLOB,2.0,2.631593099478873
1880,Hawaii,40.0,PCOM,5.0,2.631593099478873
1881,Hawaii,19.0,PLOB,2.0,2.631593099478873
1882,Hawaii,38.0,PLOB,1.0,2.631593099478873
1883,Hawaii,18.0,PLOB,5.0,2.631593099478873
1884,Hawaii,40.0,PLOB,10.0,2.631593099478873
1885,Hawaii,37.0,PCOM,0.0,2.631593099478873
1886,Hawaii,14.0,MCAP,1.0,2.631593099478873
1887,Hawaii,38.0,PCOM,0.0,2.631593099478873
1888,Hawaii,9.0,PLOB,0.0,2.631593099478873
1889,Hawaii,35.0,PLOB,0.0,2.631593099478873
1890,Hawaii,40.0,PLOB,30.0,2.631593099478873
1891,Hawaii,17.0,PLOB,2.0,2.631593099478873
1892,Hawaii,45.0,PCOM,0.0,2.631593099478873
1893,Hawaii,35.0,PLOB,10.0,2.631593099478873
1894,Hawaii,39.0,PLOB,20.0,2.631593099478873
1895,Hawaii,20.0,PLOB,1.0,2.631593099478873
1896,Hawaii,39.0,PLOB,0.0,2.631593099478873
1897,Hawaii,16.0,PLOB,1.0,2.631593099478873
1898,Hawaii,15.0,PLOB,0.0,2.631593099478873
1899,Hawaii,41.0,PLOB,30.0,2.631593099478873
1900,Hawaii,24.0,PLOB,5.0,2.631593099478873
1901,Hawaii,40.0,PLOB,15.0,2.631593099478873
1902,Hawaii,17.0,PLOB,2.0,2.631593099478873
1903,Hawaii,36.0,PCOM,0.0,2.631593099478873
1904,Hawaii,20.0,PLOB,0.0,2.631593099478873
1905,Hawaii,14.0,PLOB,0.0,2.631593099478873
1906,Hawaii,37.0,PLOB,5.0,2.631593099478873
1907,Hawaii,25.0,PLOB,0.0,2.631593099478873
1908,Hawaii,40.0,PLOB,20.0,2.631593099478873
1909,Hawaii,42.0,PCOM,60.0,2.631593099478873
1910,Hawaii,35.0,PMEA,10.0,2.631593099478873
1911,Hawaii,42.0,PLOB,2.0,2.631593099478873
1912,Hawaii,16.0,MCAP,20.0,2.631593099478873
1913,Hawaii,45.0,PCOM,1.0,2.631593099478873
1914,Hawaii,42.0,PLOB,30.0,2.631593099478873
1915,Hawaii,42.0,PCOM,50.0,2.631593099478873
1916,Hawaii,32.0,PLOB,80.0,2.631593099478873
1917,Hawaii,40.0,PLOB,20.0,2.631593099478873
1918,Hawaii,34.0,PCOM,80.0,2.631593099478873
1919,Hawaii,37.0,PLOB,40.0,2.631593099478873
1921,Hawaii,47.0,PLOB,40.0,2.631593099478873
1922,Hawaii,40.0,PLOB,30.0,2.631593099478873
1923,Hawaii,46.0,PLOB,20.0,2.631593099478873
1924,Hawaii,31.0,PLOB,30.0,2.631593099478873
1925,Hawaii,8.0,PMEA,15.0,2.631593099478873
1927,Hawaii,28.0,PLOB,50.0,2.631593099478873
1928,Hawaii,20.0,PLOB,15.0,2.631593099478873
1929,Hawaii,11.0,PCOM,80.0,2.631593099478873
1932,Hawaii,10.0,PMEA,20.0,2.631593099478873
1933,Hawaii,46.0,PGRA,25.0,2.631593099478873
3495,Hawaii,15.0,PDUE,50.0,2.631593099478873
3496,Hawaii,10.0,MFLA,0.0,2.631593099478873
3497,Hawaii,8.0,PDUE,40.0,2.631593099478873
3498,Hawaii,20.0,PDUE,100.0,2.631593099478873
3499,Hawaii,13.0,PLUT,5.0,2.631593099478873
3500,Hawaii,10.0,PMEA,100.0,2.631593099478873
3501,Hawaii,5.0,PLUT,10.0,2.631593099478873
3502,Lanai,16.0,MPAT,20.0,2.685823911
3503,Lanai,67.0,PLOB,0.0,2.685823911
3504,Lanai,61.0,MCAP,10.0,2.685823911
3505,Lanai,38.0,PCOM,0.0,2.685823911
3506,Lanai,28.0,MPAT,10.0,2.685823911
3507,Lanai,38.0,MCAP,15.0,2.685823911
3508,Lanai,47.0,PLOB,5.0,2.685823911
3509,Lanai,46.0,MPAT,10.0,2.685823911
3510,Lanai,15.0,MPAT,25.0,2.685823911
3511,Lanai,4.0,PCOM,0.0,2.685823911
3512,Lanai,21.0,MPAT,10.0,2.685823911
3513,Lanai,35.0,MPAT,2.0,2.685823911
3514,Lanai,15.0,PLOB,1.0,2.685823911
3515,Lanai,15.0,PLOB,2.0,2.685823911
3516,Lanai,32.0,PLOB,1.0,2.685823911
3517,Lanai,50.0,PLOB,1.0,2.685823911
3518,Maui,52.0,MCAP,90.0,2.6004861418055554
3519,Maui,57.0,MCAP,40.0,2.6004861418055554
3520,Maui,39.0,PMEA,100.0,2.6004861418055554
3521,Maui,43.0,PCOM,0.0,2.6004861418055554
3522,Maui,53.0,PCOM,5.0,2.6004861418055554
3523,Maui,27.0,PLOB,25.0,2.6004861418055554
3524,Maui,18.0,MPAT,5.0,2.6004861418055554
3525,Maui,16.0,MPAT,0.0,2.6004861418055554
3526,Maui,13.0,MPAT,0.0,2.6004861418055554
3527,Maui,64.0,PCOM,5.0,2.6004861418055554
3528,Maui,21.0,PCOM,10.0,2.6004861418055554
3529,Maui,23.0,PLOB,80.0,2.6004861418055554
3530,Maui,32.0,MPAT,100.0,2.6004861418055554
3531,Maui,32.0,PLOB,50.0,2.6004861418055554
3532,Maui,13.0,PCOM,5.0,2.6004861418055554
3533,Maui,21.0,PGRA,50.0,2.6004861418055554
3534,Maui,8.0,PLOB,20.0,2.6004861418055554
3535,Maui,12.0,PMEA,90.0,2.6004861418055554
3536,Maui,15.0,PMEA,100.0,2.6004861418055554
3537,Maui,12.0,MCAP,85.0,2.6004861418055554
3538,Maui,9.0,PLOB,0.0,2.6004861418055554
3539,Maui,9.0,PMEA,15.0,2.6004861418055554
3540,Maui,9.0,PMEA,5.0,2.6004861418055554
3541,Maui,16.0,PLOB,0.0,2.6004861418055554
3542,Maui,8.0,MPAT,50.0,2.6004861418055554
3543,Maui,7.0,PMEA,80.0,2.6004861418055554
3544,Maui,14.0,MCAP,100.0,2.6004861418055554
3545,Maui,10.0,MFLA,10.0,2.6004861418055554
3546,Maui,11.0,PLOB,5.0,2.6004861418055554
3547,Maui,11.0,PLUT,100.0,2.6004861418055554
3548,Maui,11.0,MCAP,15.0,2.6004861418055554
3549,Maui,11.0,MPAT,10.0,2.6004861418055554
3550,Maui,7.0,PMEA,30.0,2.6004861418055554
3551,Maui,15.0,PLUT,50.0,2.6004861418055554
3552,Maui,10.0,MCAP,100.0,2.6004861418055554
3553,Maui,18.0,MPAT,15.0,2.6004861418055554
3554,Maui,49.0,PCOM,5.0,2.6004861418055554
3555,Maui,36.0,PLOB,10.0,2.6004861418055554
3556,Maui,45.0,MPAT,0.0,2.6004861418055554
3557,Maui,61.0,MPAT,0.0,2.6004861418055554
3558,Maui,28.0,PLOB,20.0,2.6004861418055554
3559,Maui,44.0,MCAP,100.0,2.6004861418055554
3560,Maui,38.0,PCOM,30.0,2.6004861418055554
3561,Maui,36.0,PLOB,20.0,2.6004861418055554
3562,Maui,33.0,MCAP,85.0,2.6004861418055554
3563,Maui,28.0,PMEA,100.0,2.6004861418055554
3564,Maui,48.0,PCOM,25.0,2.6004861418055554
3565,Maui,10.0,MPAT,80.0,2.6004861418055554
3566,Maui,33.0,PCOM,10.0,2.6004861418055554
3567,Maui,33.0,MPAT,5.0,2.6004861418055554
3568,Maui,33.0,PLOB,5.0,2.6004861418055554
3569,Oahu,45.0,PLUT,20.0,2.5257665343423428
3570,Oahu,42.0,POSP,1.0,2.5257665343423428
3571,Oahu,40.0,PMEA,50.0,2.5257665343423428
3572,Oahu,88.0,MCAP,100.0,2.5257665343423428
3573,Oahu,71.0,MCAP,100.0,2.5257665343423428
3574,Oahu,86.0,MPAT,10.0,2.5257665343423428
3575,Oahu,88.0,MCAP,30.0,2.5257665343423428
3576,Oahu,52.0,PMEA,50.0,2.5257665343423428
3577,Oahu,34.0,PVAR,0.0,2.5257665343423428
3578,Oahu,29.0,PLOB,5.0,2.5257665343423428
3579,Oahu,51.0,PLOB,0.0,2.5257665343423428
3580,Oahu,18.0,MPAT,65.0,2.5257665343423428
3581,Oahu,14.0,PCOM,10.0,2.5257665343423428
3582,Oahu,19.0,MCAP,95.0,2.5257665343423428
3583,Oahu,9.0,PLOB,100.0,2.5257665343423428
3584,Oahu,89.0,PMEA,0.0,2.5257665343423428
3585,Oahu,75.0,PLOB,0.0,2.5257665343423428
3586,Oahu,64.0,PMEA,0.0,2.5257665343423428
3587,Oahu,67.0,PLOB,50.0,2.5257665343423428
3588,Oahu,36.0,PLOB,20.0,2.5257665343423428
3589,Oahu,22.0,MPAT,0.0,2.5257665343423428
3590,Oahu,35.0,PMEA,0.0,2.5257665343423428
3591,Oahu,41.0,MPAT,0.0,2.5257665343423428
3592,Oahu,32.0,PLOB,0.0,2.5257665343423428
3593,Oahu,44.0,PLUT,20.0,2.5257665343423428
3594,Oahu,26.0,PMEA,5.0,2.5257665343423428
3595,Oahu,16.0,PMEA,10.0,2.5257665343423428
3596,Oahu,15.0,MFLA,85.0,2.5257665343423428
3597,Oahu,8.0,MFLA,90.0,2.5257665343423428
3598,Oahu,14.0,MCAP,50.0,2.5257665343423428
3599,Oahu,98.0,MCAP,80.0,2.5257665343423428
3600,Oahu,84.0,PLOB,0.0,2.5257665343423428
3601,Oahu,88.0,PLOB,100.0,2.5257665343423428
3602,Oahu,64.0,MCAP,80.0,2.5257665343423428
3603,Oahu,61.0,PMEA,50.0,2.5257665343423428
3604,Oahu,21.0,PLOB,50.0,2.5257665343423428
3605,Oahu,32.0,MCAP,100.0,2.5257665343423428
3606,Oahu,22.0,PLIC,75.0,2.5257665343423428
3607,Oahu,23.0,PMEA,90.0,2.5257665343423428
3608,Oahu,33.0,PLOB,70.0,2.5257665343423428
3609,Oahu,30.0,PLIC,50.0,2.5257665343423428
3610,Oahu,15.0,PMEA,40.0,2.5257665343423428
3611,Oahu,36.0,PMEA,25.0,2.5257665343423428
3612,Oahu,11.0,PLIC,95.0,2.5257665343423428
3613,Oahu,16.0,PLIC,80.0,2.5257665343423428
3614,Oahu,15.0,PLIC,80.0,2.5257665343423428
3615,Oahu,13.0,PDUE,100.0,2.5257665343423428
3616,Oahu,6.0,PDUE,80.0,2.5257665343423428
3617,Oahu,29.0,PLOB,0.0,2.5257665343423428
3618,Oahu,12.0,PLOB,5.0,2.5257665343423428
3619,Oahu,60.0,PLOB,0.0,2.5257665343423428
3620,Oahu,75.0,PMEA,5.0,2.5257665343423428
3621,Oahu,65.0,PMEA,5.0,2.5257665343423428
3622,Oahu,14.0,PLOB,10.0,2.5257665343423428
3623,Oahu,28.0,MCAP,100.0,2.5257665343423428
3624,Oahu,50.0,PLOB,5.0,2.5257665343423428
3625,Oahu,25.0,PLOB,10.0,2.5257665343423428
3626,Oahu,49.0,PLOB,5.0,2.5257665343423428
3628,Oahu,18.0,PLOB,0.0,2.5257665343423428
3629,Oahu,13.0,PLUT,0.0,2.5257665343423428
3630,Oahu,36.0,PLUT,10.0,2.5257665343423428
3631,Oahu,30.0,PLUT,30.0,2.5257665343423428
3632,Oahu,29.0,PMEA,60.0,2.5257665343423428
3774,Maui,11.0,PCOM,5.0,2.6004861418055554
3775,Maui,7.0,PCOM,5.0,2.6004861418055554
3776,Maui,7.0,PCOM,25.0,2.6004861418055554
3777,Maui,6.0,PCOM,50.0,2.6004861418055554
3778,Maui,11.0,MCAP,70.0,2.6004861418055554
3779,Hawaii,20.0,PLUT,0.0,2.631593099478873
3780,Hawaii,27.0,PCOM,10.0,2.631593099478873
3781,Hawaii,19.0,PCOM,50.0,2.631593099478873
3782,Hawaii,22.0,PCOM,10.0,2.631593099478873
3784,Hawaii,28.0,PLOB,5.0,2.631593099478873
3785,Hawaii,40.0,PCOM,10.0,2.631593099478873
3786,Hawaii,20.0,PDUE,80.0,2.631593099478873
3787,Hawaii,40.0,PLOB,2.0,2.631593099478873
3788,Hawaii,19.0,PCOM,5.0,2.631593099478873
3789,Hawaii,38.0,PCOM,2.0,2.631593099478873
3790,Hawaii,18.0,PCOM,1.0,2.631593099478873
3791,Hawaii,40.0,PCOM,50.0,2.631593099478873
3792,Hawaii,37.0,PLOB,0.0,2.631593099478873
3793,Hawaii,14.0,PLOB,0.0,2.631593099478873
3794,Hawaii,38.0,PMON,0.0,2.631593099478873
3795,Hawaii,9.0,PLUT,0.0,2.631593099478873
3797,Hawaii,40.0,PCOM,5.0,2.631593099478873
3799,Hawaii,45.0,PLOB,0.0,2.631593099478873
3800,Hawaii,35.0,PCOM,10.0,2.631593099478873
3801,Hawaii,39.0,PCOM,10.0,2.631593099478873
3802,Hawaii,20.0,PCOM,10.0,2.631593099478873
3803,Hawaii,39.0,PCOM,0.0,2.631593099478873
3804,Hawaii,16.0,PCOM,0.0,2.631593099478873
3805,Hawaii,15.0,MCAP,100.0,2.631593099478873
3806,Hawaii,41.0,PCOM,10.0,2.631593099478873
3807,Hawaii,24.0,PCOM,1.0,2.631593099478873
3808,Hawaii,40.0,MCAP,80.0,2.631593099478873
3810,Hawaii,36.0,PLOB,0.0,2.631593099478873
3811,Hawaii,20.0,MCAP,80.0,2.631593099478873
3812,Hawaii,14.0,MCAP,4.0,2.631593099478873
3813,Hawaii,37.0,MCAP,80.0,2.631593099478873
3815,Hawaii,40.0,PLUT,99.0,2.631593099478873
3816,Hawaii,42.0,PLUT,20.0,2.631593099478873
3817,Hawaii,35.0,MCAP,10.0,2.631593099478873
3818,Hawaii,42.0,PMEA,60.0,2.631593099478873
3819,Hawaii,16.0,PLOB,2.0,2.631593099478873
3820,Hawaii,45.0,MCAP,75.0,2.631593099478873
3821,Hawaii,42.0,MPAT,10.0,2.631593099478873
3822,Hawaii,42.0,MCAP,50.0,2.631593099478873
3832,Hawaii,8.0,MPAT,50.0,2.631593099478873
3835,Hawaii,20.0,MCAP,95.0,2.631593099478873
3836,Hawaii,11.0,MPAT,50.0,2.631593099478873
3839,Hawaii,10.0,MPAT,50.0,2.631593099478873
5402,Hawaii,15.0,PVAR,50.0,2.631593099478873
5403,Hawaii,10.0,MINC,50.0,2.631593099478873
5405,Hawaii,20.0,PMEA,100.0,2.631593099478873
5406,Hawaii,13.0,MCAP,50.0,2.631593099478873
5408,Hawaii,5.0,PMEA,100.0,2.631593099478873
5409,Lanai,16.0,PMEA,90.0,2.685823911
5410,Lanai,67.0,MCAP,75.0,2.685823911
5411,Lanai,61.0,PLOB,0.0,2.685823911
5412,Lanai,38.0,PMEA,80.0,2.685823911
5413,Lanai,28.0,PCOM,0.0,2.685823911
5414,Lanai,38.0,MPAT,10.0,2.685823911
5415,Lanai,47.0,MPAT,20.0,2.685823911
5416,Lanai,46.0,PCOM,0.0,2.685823911
5417,Lanai,15.0,PLOB,5.0,2.685823911
5418,Lanai,4.0,PLOB,5.0,2.685823911
5419,Lanai,21.0,PLOB,0.0,2.685823911
5420,Lanai,35.0,MCAP,5.0,2.685823911
5421,Lanai,15.0,MPAT,50.0,2.685823911
5422,Lanai,15.0,MPAT,10.0,2.685823911
5423,Lanai,32.0,MPAT,50.0,2.685823911
5424,Lanai,50.0,PMEA,100.0,2.685823911
5425,Maui,52.0,PLOB,5.0,2.6004861418055554
5426,Maui,57.0,PCOM,10.0,2.6004861418055554
5427,Maui,39.0,PGRA,0.0,2.6004861418055554
5428,Maui,43.0,PLOB,15.0,2.6004861418055554
5429,Maui,53.0,PLOB,10.0,2.6004861418055554
5430,Maui,27.0,MPAT,0.0,2.6004861418055554
5431,Maui,18.0,MCAP,70.0,2.6004861418055554
5432,Maui,16.0,MCAP,90.0,2.6004861418055554
5433,Maui,13.0,PCOM,0.0,2.6004861418055554
5434,Maui,64.0,PLOB,50.0,2.6004861418055554
5435,Maui,21.0,MCAP,100.0,2.6004861418055554
5436,Maui,23.0,PMEA,100.0,2.6004861418055554
5437,Maui,32.0,MCAP,100.0,2.6004861418055554
5438,Maui,32.0,PGRA,100.0,2.6004861418055554
5439,Maui,13.0,MCAP,20.0,2.6004861418055554
5441,Maui,8.0,MPAT,10.0,2.6004861418055554
5442,Maui,12.0,PGRA,1.0,2.6004861418055554
5443,Maui,15.0,MPAT,50.0,2.6004861418055554
5444,Maui,12.0,PMEA,95.0,2.6004861418055554
5445,Maui,9.0,PDUE,99.0,2.6004861418055554
5446,Maui,9.0,MPAT,5.0,2.6004861418055554
5447,Maui,9.0,MPAT,0.0,2.6004861418055554
5448,Maui,16.0,PCOM,0.0,2.6004861418055554
5449,Maui,8.0,PMEA,100.0,2.6004861418055554
5450,Maui,7.0,MFLA,50.0,2.6004861418055554
5451,Maui,14.0,MPAT,50.0,2.6004861418055554
5452,Maui,10.0,MPAT,30.0,2.6004861418055554
5453,Maui,11.0,MPAT,5.0,2.6004861418055554
5454,Maui,11.0,MPAT,80.0,2.6004861418055554
5455,Maui,11.0,PLOB,0.0,2.6004861418055554
5456,Maui,11.0,PMEA,10.0,2.6004861418055554
5457,Maui,7.0,MPAT,10.0,2.6004861418055554
5458,Maui,15.0,PODU,100.0,2.6004861418055554
5459,Maui,10.0,MPAT,5.0,2.6004861418055554
5460,Maui,18.0,MCAP,80.0,2.6004861418055554
5462,Maui,36.0,MCAP,80.0,2.6004861418055554
5463,Maui,45.0,PLOB,10.0,2.6004861418055554
5464,Maui,61.0,PCOM,10.0,2.6004861418055554
5465,Maui,28.0,PCOM,10.0,2.6004861418055554
5466,Maui,44.0,PMEA,100.0,2.6004861418055554
5467,Maui,38.0,MCAP,90.0,2.6004861418055554
