Island_Name,ZoneName,Cluster_DepthBin_ID,Depth_ft_mn,Longitude_DD_mn,Latitude_DD_mn,CoralBleached_Perc_mn,SiteSuscp_mn,DHW.MeanMax.YR01_mn,DHW.MeanMax.YR10YR01_mn,SST_Variability_AllB4_mn,PAR_surface_mn,kdPAR_mn,TotalEffluent_mn,WaveAction_value_mn,AgGolf_runoff_mn,Urban_runoff_mn,TourRec_10yrAvgPUD_mn,PctBleached_hist_mn,Obs_Year,Weights_DriversAndSpatialAnalysis,Weights_TemporalAnalysis
Maui,Maui_S,263 Shallow,15,-156.43121,20.59559,0,2.805,5.989999771,4.100000024,2.633773552,48.31712341,0.054353922,98.34728702,0,0.04208323,0.04452018,11.30000019,7.031746032,2019,1,
Maui,Maui_S,264 Shallow,17,-156.4400867,20.60522333,43.33333333,3.456666667,5.570000172,3.700000107,2.633050243,48.56109333,0.053317647,240.0480458,0,0.126463837,0.088605552,13.55043955,7.031746032,2019,0.093244691,
Oahu,Oahu_N,265 Shallow,6.3,-158.064,21.646476,7.2,NA,0.863999996,3.432999946,2.528301959,44.91731262,0.059699119,35817.17891,84917,0.041052363,0.055335935,210.3000031,NA,2019,0.070299526,
Oahu,Oahu_W,266 Shallow,14.5,-158.1608,21.393744,35.9,NA,0,1.730000019,2.562075561,44.45200157,0.104625002,6927.6495,26371,0.037884143,0.2408113,4.699999809,NA,2019,0.070161483,
Maui,Maui_N,267 Mid,25.4,-156.5011673,20.943745,10.28571429,3.066628874,3.86285707,6.449999809,2.55452829,46.3322506,0.076741174,4874.095778,88671.10156,0.086895719,0.024628044,10.59999943,NA,2019,0.13760516,
Maui,Maui_N,267 Shallow,13.9,-156.5008442,20.94120406,11.35294118,3.044356427,2.922352861,6.107646942,2.548934504,46.3322506,0.076741174,9345.272633,93239.52436,0.095153356,0.026612582,9.84643762,NA,2019,0.049117134,
Maui,Maui_N,268 Mid,39,-156.4945395,20.942267,6,3.175438596,1.820000052,5.480000019,2.538679231,46.3322506,0.076741174,744.058401,102834,0.035468776,0.009797377,6.400000095,NA,2019,1,
Maui,Maui_N,268 Shallow,11.8,-156.4941574,20.93654375,8.8125,3.320201207,1.679999948,5.480000019,2.538679231,46.3322506,0.076741174,3308.916158,102096.4598,0.102597291,0.030323119,9.064447631,NA,2019,0.110172301,
Maui,Maui_N,269 Mid,29.1,-156.4875573,20.93417587,3.6,3.172584383,1.679999948,5.480000019,2.538679231,46.3322506,0.076741174,840.5478773,99427.33569,0.053549557,0.021648474,7.807303961,NA,2019,0.078769659,
Maui,Maui_N,269 Shallow,12.4,-156.4911123,20.93261659,9.62962963,3.220215981,1.679999948,5.480000019,2.538679231,46.3322506,0.076741174,4785.974368,92331.36594,0.112104911,0.055049463,10.30000019,NA,2019,0.039334827,
Maui,Maui_W,27 Shallow,9.7,-156.4544387,20.72768133,12.33333333,3.278874269,1.746666709,2.904999912,2.655597531,45.84337425,0.060241666,5599.070422,0,0.18097717,0.160724289,113.5914123,53.34615741,2019,0.133543964,0.082476084
Maui,Maui_N,270 Mid,36.4,-156.4898307,20.94001389,5.166666667,3.11151519,1.711111082,5.480000019,2.538679231,46.3322506,0.076741174,161.9369298,106942.3147,0.025323157,0.006994899,4.832098984,NA,2019,0.068542045,
Maui,Maui_N,271 Shallow,11.3,-156.448939,20.904876,13.83333333,3.180392157,3.150555486,2.314999979,2.518679241,NA,NA,1919.790628,99348.20313,0.441220648,0.176103492,73.29999542,NA,2019,0.052996546,
Maui,Maui_N,272 Shallow,8.8,-156.462783,20.9031165,6.75,2.125,1.679999948,5.480000019,2.538679231,NA,NA,3766.498438,85476.89844,0.22170105,0.302766868,67.80000305,NA,2019,0.08577573,
Maui,Maui_NW,273 Shallow,12,-156.6727275,20.9883325,35,2.757753759,10.89999962,3.443333437,2.610754625,48.7356081,0.048652941,22819.27647,12798.37525,0.078263297,0.106619484,124.385528,33.63518519,2019,0.099790358,0.061630025
Maui,Maui_WNW,274 Mid,24,-156.66895,20.85664,80,3.3,9.770000458,4.365000159,2.632452911,47.65604146,0.063328922,2493.805748,0,0.017555734,0.083761144,36,54.42444444,2019,0.033604988,0.028187795
Maui,Maui_WNW,274 Shallow,19,-156.67258,20.85888,10,2,9.770000458,4.365000159,2.632452911,47.72559357,0.063328922,659.2714024,0,0.017890227,0.080406903,213.2095868,54.42444444,2019,0.033604988,
Maui,Maui_WNW,275 Mid,24.5,-156.623985,20.807605,10,2.966666667,8.693333626,3.76333337,2.656188655,47.66350047,0.08776912,3468.444421,0,0.015266493,0.074009668,29,54.42444444,2019,0.231494791,0.142970024
Maui,Maui_WNW,275 Shallow,12.7,-156.6255333,20.80967667,11.66666667,3.127272727,8.693333626,3.76333337,2.656188655,47.66350047,0.078104904,3179.816188,0,0.01637735,0.078962461,25.86878626,54.42444444,2019,0.194729372,
Maui,Maui_W,276 Mid,30,-156.59026,20.79468,30,3.333333333,4.976666737,3.15066667,2.634339423,45.72212601,NA,236.3227007,0,0.000386084,0.010068769,16.20000076,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,277 Mid,24,-156.58536,20.79198,25,2.3,4.976666737,3.15066667,2.634339423,45.72212601,NA,155.7747946,0,0.000378079,0.00985999,13.40000057,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,277 Shallow,19,-156.58086,20.79071,20,2.823529412,4.976666737,3.15066667,2.634339423,45.72212601,NA,244.4241735,0,0.000354784,0.009252492,13.40000057,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,278 Mid,20,-156.56754,20.78872,25,3,4.976666737,3.15066667,2.634339423,43.44137573,NA,111.7586782,0,0.000373383,0.009737542,23.39999962,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,278 Shallow,19,-156.56192,20.78795,20,2.3,4.976666737,3.15066667,2.634339423,43.78912544,0.064183332,64.15245987,0,0.001034973,0.010697534,23.39999962,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,279 Shallow,10.3,-156.5199333,20.77964667,16.66666667,3.122222222,2.619999886,2.710000053,2.602641412,43.78912544,0.062758332,3017.804845,0,0.505519254,0.042441565,39.338088,53.34615741,2019,0.149102687,0.092085073
Hawaii,Hawaii_SW,28 Mid,40,-155.91325,19.1673,70,2.028571429,5.180000052,5.595000178,2.67698126,49.28856277,0.046717647,339.5305786,21817.09961,0.073378575,0.0543958,1.100000024,54.64444444,2019,0.033604988,0.028187795
Maui,Maui_W,280 Shallow,7,-156.51458,20.785295,0,2.931972789,2.619999886,2.710000053,2.602641412,43.9630003,0.062045832,14109.75419,0,0.499751493,0.041957322,77.79388109,53.34615741,2019,1,1
Oahu,Oahu_W,281 Shallow,11.3,-158.248,21.55384,48.33333333,NA,0.769999981,2.814999998,2.550188784,47.12968636,0.048993677,4.002576523,12388,0.070105319,0.039836342,39.89999771,NA,2019,0.130702649,
Oahu,Oahu_W,282 Shallow,9.7,-158.241,21.54484867,35.26666667,NA,0.610000014,2.404999942,2.537767308,46.906253,0.048803309,39.61190033,10621.5,0.023431765,0.021606417,39.39999771,NA,2019,0.058742279,
Oahu,Oahu_S,283 Mid,23.4,-157.8477449,21.28108472,22,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,283 Shallow,16.9,-157.8444685,21.27911643,18.25,,,,NA,,,,,,,,,2015,,1
Oahu,Oahu_S,284 Mid,19.9,-157.9144355,21.29482253,10.5,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,284 Shallow,18.3,-157.9118577,21.29412745,9,,,,NA,,,,,,,,,2015,,0.170889145
Oahu,Oahu_S,285 Mid,22.1,-157.9169955,21.29524312,15.1,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,285 Shallow,18.3,-157.921156,21.29659907,14.66666667,,,,NA,,,,,,,,,2015,,0.98611055
Oahu,Oahu_S,286 Mid,19.8,-157.7990306,21.25256461,23,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,286 Shallow,17.6,-157.8006151,21.25265177,19.5,,,,NA,,,,,,,,,2015,,0.120481074
Oahu,Oahu_S,287 Shallow,17,-157.8526856,21.28404111,21.4,,,,NA,,,,,,,,,2015,,0.397025526
Oahu,Oahu_S,288 Mid,23,-157.7903794,21.25562942,22,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,288 Shallow,16.7,-157.7876659,21.25727411,24.5,,,,NA,,,,,,,,,2015,,0.209267867
Oahu,Oahu_S,289 Shallow,16.8,-157.8588983,21.28736113,17.5,,,,NA,,,,,,,,,2015,,1
